id,N,utt.standardized,count,ratio
if1_hh,100,blue does not fall,1,0.01
if1_hh,100,blue falls,2,0.02
if1_hh,100,blue falls but green does not fall,2,0.02
if1_hh,100,blue might fall,1,0.01
if1_hh,100,blue might not fall,0,0
if1_hh,100,both blocks fall,73,0.73
if1_hh,100,green does not fall,0,0
if1_hh,100,green falls,1,0.01
if1_hh,100,green falls but blue does not fall,2,0.02
if1_hh,100,green might fall,1,0.01
if1_hh,100,green might not fall,1,0.01
if1_hh,100,if blue does not fall green does not fall,1,0.01
if1_hh,100,if blue does not fall green falls,0,0
if1_hh,100,if blue falls green does not fall,0,0
if1_hh,100,if blue falls green falls,14,0.14
if1_hh,100,if green does not fall blue does not fall,0,0
if1_hh,100,if green does not fall blue falls,0,0
if1_hh,100,if green falls blue does not fall,0,0
if1_hh,100,if green falls blue falls,0,0
if1_hh,100,neither block falls,1,0.01
if1_lh,100,blue does not fall,1,0.01
if1_lh,100,blue falls,1,0.01
if1_lh,100,blue falls but green does not fall,5,0.05
if1_lh,100,blue might fall,2,0.02
if1_lh,100,blue might not fall,0,0
if1_lh,100,both blocks fall,12,0.12
if1_lh,100,green does not fall,0,0
if1_lh,100,green falls,3,0.03
if1_lh,100,green falls but blue does not fall,16,0.16
if1_lh,100,green might fall,5,0.05
if1_lh,100,green might not fall,2,0.02
if1_lh,100,if blue does not fall green does not fall,0,0
if1_lh,100,if blue does not fall green falls,0,0
if1_lh,100,if blue falls green does not fall,0,0
if1_lh,100,if blue falls green falls,10,0.1
if1_lh,100,if green does not fall blue does not fall,0,0
if1_lh,100,if green does not fall blue falls,0,0
if1_lh,100,if green falls blue does not fall,0,0
if1_lh,100,if green falls blue falls,0,0
if1_lh,100,neither block falls,43,0.43
if1_u-Lh,100,blue does not fall,0,0
if1_u-Lh,100,blue falls,0,0
if1_u-Lh,100,blue falls but green does not fall,5,0.05
if1_u-Lh,100,blue might fall,3,0.03
if1_u-Lh,100,blue might not fall,1,0.01
if1_u-Lh,100,both blocks fall,35,0.35
if1_u-Lh,100,green does not fall,0,0
if1_u-Lh,100,green falls,5,0.05
if1_u-Lh,100,green falls but blue does not fall,3,0.03
if1_u-Lh,100,green might fall,6,0.06
if1_u-Lh,100,green might not fall,0,0
if1_u-Lh,100,if blue does not fall green does not fall,0,0
if1_u-Lh,100,if blue does not fall green falls,0,0
if1_u-Lh,100,if blue falls green does not fall,0,0
if1_u-Lh,100,if blue falls green falls,28,0.28
if1_u-Lh,100,if green does not fall blue does not fall,0,0
if1_u-Lh,100,if green does not fall blue falls,0,0
if1_u-Lh,100,if green falls blue does not fall,0,0
if1_u-Lh,100,if green falls blue falls,0,0
if1_u-Lh,100,neither block falls,14,0.14
if1_uh,100,blue does not fall,1,0.01
if1_uh,100,blue falls,0,0
if1_uh,100,blue falls but green does not fall,4,0.04
if1_uh,100,blue might fall,7,0.07
if1_uh,100,blue might not fall,1,0.01
if1_uh,100,both blocks fall,40,0.4
if1_uh,100,green does not fall,0,0
if1_uh,100,green falls,2,0.02
if1_uh,100,green falls but blue does not fall,2,0.02
if1_uh,100,green might fall,3,0.03
if1_uh,100,green might not fall,1,0.01
if1_uh,100,if blue does not fall green does not fall,1,0.01
if1_uh,100,if blue does not fall green falls,0,0
if1_uh,100,if blue falls green does not fall,0,0
if1_uh,100,if blue falls green falls,33,0.33
if1_uh,100,if green does not fall blue does not fall,0,0
if1_uh,100,if green does not fall blue falls,0,0
if1_uh,100,if green falls blue does not fall,0,0
if1_uh,100,if green falls blue falls,0,0
if1_uh,100,neither block falls,5,0.05
