id;custom_response;response_non_standardized;annotation
if1_u-Lh;green block falls;the green block falls;-article literal
independent_ll;the green block falls but the blue block does not fall;the green block falls and the blue block does not fall;and -> but
independent_hl;the blue block falls but the green block doesn't fall;the blue block falls and the green block does not fall;and -> but
independent_ul;the green block falls while the blue block doesn't;the green block falls and the blue block does not fall;and -> while
if2_ll;all things are roughly equal;both blocks fall;both -> all roughly equal
if2_hl;both could fall;both blocks fall;both -> could both
if2_hl;both blocks might fall;the blue block and the green block fall;both -> might both
if1_uh;both blocks might fall;both blocks fall;both -> might both
independent_ul;both blocks might fall;both blocks fall;both -> might both
if2_u-Ll;both blocks might fall;both blocks fall;both -> might both
if1_uh;both might fall;the blue block and the green block fall;both -> might both
if2_hl;both blocks might fall.;both blocks fall;both -> might both
independent_hl;blue falls and green might;the blue block falls and the green block falls;both -> might conjunction
independent_uh;the blue block might not fall but the green block does.;both blocks fall;both -> might conjunction
if2_hl;blue falls green might not;both blocks fall;both -> might conjunction
if2_u-Ll;the blue block falls and the green block might fall;the blue block falls and the green block falls as well;both -> might conjunction
if2_ll;the blue block falls and the green box might fall;the blue block falls and the green block falls as well;both -> might conjunction
if1_hh;the blue falls, the green might as well;the blue block falls and the green block falls as well;both -> might conjunction
independent_uh;the green block falls and the blue block might fall;both blocks fall;both -> might conjunction
independent_hh;green falls, blue might;the green block falls and the blue block falls as well;both -> might conjunction 
if2_hl;if the blue block falls the green block might fall;if the blue block falls the green block falls as well;conditional -> might consequent
if2_ll;if the blue block falls, the green block might fall;if the blue block falls the green block falls as well;conditional -> might consequent
if2_ul;if the blue block falls it'll cause the green block to fall too;the green block falls if the blue block falls;conditional (centered) -> cause
if2_ll;if the blue block falls it'll cause the green block to fall too;the green block falls if the blue block falls;conditional (if centered) -> cause
if1_uh;if the blue block falls it'll cause the green block to fall too;the green block falls if the blue block falls;conditional (if centered) -> cause
independent_ll;the blue block does not fall but the green block might;the blue block does not fall but the green block falls;conjunction -> might conjunction
independent_hl;blue block falls but green might not.;the blue block falls and the green block does not fall;conjunction -> might conjunction
if2_ul;the blue block falls and the the green block might fall;the blue block falls but the green block does not fall;conjunction -> might conjunction
independent_ul;the blue block falls but the green block might not;the blue block falls but the green block does not;conjunction -> might conjunction
independent_uh;the green block falls but the blue block might not;the green block falls but the blue block does not;conjunction -> might conjunction
independent_uh;the blue block might fall but the green block will fall;the green block falls but the blue block does not;conjunction -> might conjunction
if2_u-Ll;the blue block falls but the green block might not;the blue block falls but the green block does not;conjunction -> might conjunction
if2_ul;the blue block falls but the green block might not;the blue block falls but the green block does not fall;conjunction -> might conjunction
independent_hh;the green block falls and the blue block might not;the green block falls and the blue block does not fall;conjunction -> might conjunction
if2_ul;green falls, green might;the blue block falls but the green block does not;conjunction -> might conjunction ?
if2_u-Ll;the blue block does not fall but the green block might;the green block does not fall but the blue block falls;conjunction -> might conjunction (but opposite)
