prolific_id,RT,expected,QUD,id,trial_name,trial_number,response,question,pe_task.smooth
6001ec0ca3b1a3187ac01f0c,255330,y,Please indicate how likely you think the shown events will occur. Click on RUN to see!,uncertain3,animation_slider,1,0.23,ry,0.22772286050352278
6001ec0ca3b1a3187ac01f0c,255330,y,Please indicate how likely you think the shown events will occur. Click on RUN to see!,uncertain3,animation_slider,1,0.18,r,0.1782181060669067
6001ec0ca3b1a3187ac01f0c,255330,y,Please indicate how likely you think the shown events will occur. Click on RUN to see!,uncertain3,animation_slider,1,0.28,y,0.27722761494013887
6001ec0ca3b1a3187ac01f0c,255330,y,Please indicate how likely you think the shown events will occur. Click on RUN to see!,uncertain3,animation_slider,1,0.32,none,0.31683141848943175
6001ec0ca3b1a3187ac01f0c,23810,r,Please indicate how likely you think the shown events will occur. Click on RUN to see!,uncertain1,animation_slider,2,0.18,ry,0.18000027999888002
6001ec0ca3b1a3187ac01f0c,23810,r,Please indicate how likely you think the shown events will occur. Click on RUN to see!,uncertain1,animation_slider,2,0.29,r,0.28999984000064
6001ec0ca3b1a3187ac01f0c,23810,r,Please indicate how likely you think the shown events will occur. Click on RUN to see!,uncertain1,animation_slider,2,0.22,y,0.22000011999952002
6001ec0ca3b1a3187ac01f0c,23810,r,Please indicate how likely you think the shown events will occur. Click on RUN to see!,uncertain1,animation_slider,2,0.31,none,0.30999976000096
6001ec0ca3b1a3187ac01f0c,39192,y,Please indicate how likely you think the shown events will occur. Click on RUN to see!,distance1,animation_slider,3,0,ry,9.99996000016e-7
6001ec0ca3b1a3187ac01f0c,39192,y,Please indicate how likely you think the shown events will occur. Click on RUN to see!,distance1,animation_slider,3,0.25,r,0.25
6001ec0ca3b1a3187ac01f0c,39192,y,Please indicate how likely you think the shown events will occur. Click on RUN to see!,distance1,animation_slider,3,0.35,y,0.34999960000159996
6001ec0ca3b1a3187ac01f0c,39192,y,Please indicate how likely you think the shown events will occur. Click on RUN to see!,distance1,animation_slider,3,0.4,none,0.39999940000240003
6001ec0ca3b1a3187ac01f0c,30030,r,Please indicate how likely you think the shown events will occur. Click on RUN to see!,distance0,animation_slider,4,0.2,ry,0.20202039587718842
6001ec0ca3b1a3187ac01f0c,30030,r,Please indicate how likely you think the shown events will occur. Click on RUN to see!,distance0,animation_slider,4,0.29,r,0.29292911947830513
6001ec0ca3b1a3187ac01f0c,30030,r,Please indicate how likely you think the shown events will occur. Click on RUN to see!,distance0,animation_slider,4,0.21,y,0.21212136516620136
6001ec0ca3b1a3187ac01f0c,30030,r,Please indicate how likely you think the shown events will occur. Click on RUN to see!,distance0,animation_slider,4,0.29,none,0.29292911947830513
6001ec0ca3b1a3187ac01f0c,27084,none,Please indicate how likely you think the shown events will occur. Click on RUN to see!,ac3,animation_slider,5,0.22,ry,0.22000011999952002
6001ec0ca3b1a3187ac01f0c,27084,none,Please indicate how likely you think the shown events will occur. Click on RUN to see!,ac3,animation_slider,5,0.21,r,0.21000015999936003
