id,N,utterance,count,ratio
if1_hh,89,blue does not fall,1,0.011235955056179775
if1_hh,89,blue falls,1,0.011235955056179775
if1_hh,89,blue falls but green does not fall,2,0.02247191011235955
if1_hh,89,blue might fall,1,0.011235955056179775
if1_hh,89,blue might not fall,0,0
if1_hh,89,both blocks fall,65,0.7303370786516854
if1_hh,89,green does not fall,0,0
if1_hh,89,green falls,0,0
if1_hh,89,green falls but blue does not fall,2,0.02247191011235955
if1_hh,89,green might fall,1,0.011235955056179775
if1_hh,89,green might not fall,1,0.011235955056179775
if1_hh,89,if blue does not fall green does not fall,1,0.011235955056179775
if1_hh,89,if blue does not fall green falls,0,0
if1_hh,89,if blue falls green does not fall,0,0
if1_hh,89,if blue falls green falls,13,0.14606741573033707
if1_hh,89,if green does not fall blue does not fall,0,0
if1_hh,89,if green does not fall blue falls,0,0
if1_hh,89,if green falls blue does not fall,0,0
if1_hh,89,if green falls blue falls,0,0
if1_hh,89,neither block falls,1,0.011235955056179775
if1_lh,89,blue does not fall,1,0.011235955056179775
if1_lh,89,blue falls,1,0.011235955056179775
if1_lh,89,blue falls but green does not fall,5,0.056179775280898875
if1_lh,89,blue might fall,2,0.02247191011235955
if1_lh,89,blue might not fall,0,0
if1_lh,89,both blocks fall,8,0.0898876404494382
if1_lh,89,green does not fall,0,0
if1_lh,89,green falls,3,0.033707865168539325
if1_lh,89,green falls but blue does not fall,16,0.1797752808988764
if1_lh,89,green might fall,3,0.033707865168539325
if1_lh,89,green might not fall,2,0.02247191011235955
if1_lh,89,if blue does not fall green does not fall,0,0
if1_lh,89,if blue does not fall green falls,0,0
if1_lh,89,if blue falls green does not fall,0,0
if1_lh,89,if blue falls green falls,10,0.11235955056179775
if1_lh,89,if green does not fall blue does not fall,0,0
if1_lh,89,if green does not fall blue falls,0,0
if1_lh,89,if green falls blue does not fall,0,0
if1_lh,89,if green falls blue falls,0,0
if1_lh,89,neither block falls,38,0.42696629213483145
if1_u-Lh,89,blue does not fall,0,0
if1_u-Lh,89,blue falls,0,0
if1_u-Lh,89,blue falls but green does not fall,4,0.0449438202247191
if1_u-Lh,89,blue might fall,3,0.033707865168539325
if1_u-Lh,89,blue might not fall,1,0.011235955056179775
if1_u-Lh,89,both blocks fall,31,0.34831460674157305
if1_u-Lh,89,green does not fall,0,0
if1_u-Lh,89,green falls,3,0.033707865168539325
if1_u-Lh,89,green falls but blue does not fall,3,0.033707865168539325
if1_u-Lh,89,green might fall,5,0.056179775280898875
if1_u-Lh,89,green might not fall,0,0
if1_u-Lh,89,if blue does not fall green does not fall,0,0
if1_u-Lh,89,if blue does not fall green falls,0,0
if1_u-Lh,89,if blue falls green does not fall,0,0
if1_u-Lh,89,if blue falls green falls,28,0.3146067415730337
if1_u-Lh,89,if green does not fall blue does not fall,0,0
if1_u-Lh,89,if green does not fall blue falls,0,0
if1_u-Lh,89,if green falls blue does not fall,0,0
if1_u-Lh,89,if green falls blue falls,0,0
if1_u-Lh,89,neither block falls,11,0.12359550561797752
if1_uh,89,blue does not fall,1,0.011235955056179775
if1_uh,89,blue falls,0,0
if1_uh,89,blue falls but green does not fall,3,0.033707865168539325
if1_uh,89,blue might fall,6,0.06741573033707865
if1_uh,89,blue might not fall,1,0.011235955056179775
if1_uh,89,both blocks fall,35,0.39325842696629215
if1_uh,89,green does not fall,0,0
if1_uh,89,green falls,1,0.011235955056179775
if1_uh,89,green falls but blue does not fall,2,0.02247191011235955
if1_uh,89,green might fall,3,0.033707865168539325
if1_uh,89,green might not fall,1,0.011235955056179775
if1_uh,89,if blue does not fall green does not fall,1,0.011235955056179775
if1_uh,89,if blue does not fall green falls,0,0
if1_uh,89,if blue falls green does not fall,0,0
if1_uh,89,if blue falls green falls,32,0.3595505617977528
if1_uh,89,if green does not fall blue does not fall,0,0
if1_uh,89,if green does not fall blue falls,0,0
if1_uh,89,if green falls blue does not fall,0,0
if1_uh,89,if green falls blue falls,0,0
if1_uh,89,neither block falls,3,0.033707865168539325
if2_hl,89,blue does not fall,0,0
if2_hl,89,blue falls,4,0.0449438202247191
if2_hl,89,blue falls but green does not fall,25,0.2808988764044944
if2_hl,89,blue might fall,7,0.07865168539325842
if2_hl,89,blue might not fall,0,0
if2_hl,89,both blocks fall,36,0.4044943820224719
if2_hl,89,green does not fall,2,0.02247191011235955
if2_hl,89,green falls,1,0.011235955056179775
if2_hl,89,green falls but blue does not fall,1,0.011235955056179775
if2_hl,89,green might fall,0,0
if2_hl,89,green might not fall,0,0
if2_hl,89,if blue does not fall green does not fall,1,0.011235955056179775
if2_hl,89,if blue does not fall green falls,0,0
if2_hl,89,if blue falls green does not fall,0,0
if2_hl,89,if blue falls green falls,11,0.12359550561797752
if2_hl,89,if green does not fall blue does not fall,0,0
if2_hl,89,if green does not fall blue falls,0,0
if2_hl,89,if green falls blue does not fall,0,0
if2_hl,89,if green falls blue falls,0,0
if2_hl,89,neither block falls,1,0.011235955056179775
if2_ll,89,blue does not fall,0,0
if2_ll,89,blue falls,0,0
if2_ll,89,blue falls but green does not fall,7,0.07865168539325842
if2_ll,89,blue might fall,4,0.0449438202247191
if2_ll,89,blue might not fall,4,0.0449438202247191
if2_ll,89,both blocks fall,16,0.1797752808988764
