prolific_id,id
6001ec0ca3b1a3187ac01f0c,if1_hh
6001ec0ca3b1a3187ac01f0c,if2_ul
6001ec0ca3b1a3187ac01f0c,independent_ul
6001ec0ca3b1a3187ac01f0c,if2_hl
6001ec0ca3b1a3187ac01f0c,independent_ll
6001ec0ca3b1a3187ac01f0c,if1_uh
6001ec0ca3b1a3187ac01f0c,independent_hl
6001ec0ca3b1a3187ac01f0c,if1_lh
6001ec0ca3b1a3187ac01f0c,if2_u-Ll
6001ec0ca3b1a3187ac01f0c,independent_uh
6001ec0ca3b1a3187ac01f0c,if2_ll
6001ec0ca3b1a3187ac01f0c,if1_u-Lh
6001ec0ca3b1a3187ac01f0c,independent_hh
5f79ea3d53179e601f3a06ff,if2_hl
5f79ea3d53179e601f3a06ff,if1_uh
5f79ea3d53179e601f3a06ff,independent_uh
5f79ea3d53179e601f3a06ff,if1_lh
5f79ea3d53179e601f3a06ff,independent_hh
5f79ea3d53179e601f3a06ff,if2_ul
5f79ea3d53179e601f3a06ff,independent_hl
5f79ea3d53179e601f3a06ff,if1_hh
5f79ea3d53179e601f3a06ff,if2_u-Ll
5f79ea3d53179e601f3a06ff,independent_ul
5f79ea3d53179e601f3a06ff,if2_ll
5f79ea3d53179e601f3a06ff,if1_u-Lh
5f79ea3d53179e601f3a06ff,independent_ll
5fbd53e560eba90dfc84772d,if1_lh
5fbd53e560eba90dfc84772d,if2_ul
5fbd53e560eba90dfc84772d,independent_uh
5fbd53e560eba90dfc84772d,if2_ll
5fbd53e560eba90dfc84772d,independent_hh
5fbd53e560eba90dfc84772d,if1_uh
5fbd53e560eba90dfc84772d,independent_hl
5fbd53e560eba90dfc84772d,if1_hh
5fbd53e560eba90dfc84772d,if2_u-Ll
5fbd53e560eba90dfc84772d,independent_ul
5fbd53e560eba90dfc84772d,if2_hl
5fbd53e560eba90dfc84772d,if1_u-Lh
5fbd53e560eba90dfc84772d,independent_ll
5ebc30626a8f8f044e057cd9,if2_hl
5ebc30626a8f8f044e057cd9,if1_u-Lh
5ebc30626a8f8f044e057cd9,independent_ul
5ebc30626a8f8f044e057cd9,if1_hh
5ebc30626a8f8f044e057cd9,independent_ll
5ebc30626a8f8f044e057cd9,if2_u-Ll
5ebc30626a8f8f044e057cd9,independent_hl
5ebc30626a8f8f044e057cd9,if1_lh
5ebc30626a8f8f044e057cd9,if2_ul
5ebc30626a8f8f044e057cd9,independent_uh
5ebc30626a8f8f044e057cd9,if2_ll
5ebc30626a8f8f044e057cd9,if1_uh
5ebc30626a8f8f044e057cd9,independent_hh
5f9c538d30a3e70dc1d9b0ea,if2_ll
5f9c538d30a3e70dc1d9b0ea,if1_u-Lh
5f9c538d30a3e70dc1d9b0ea,independent_ul
5f9c538d30a3e70dc1d9b0ea,if1_lh
5f9c538d30a3e70dc1d9b0ea,independent_hh
5f9c538d30a3e70dc1d9b0ea,if2_u-Ll
5f9c538d30a3e70dc1d9b0ea,independent_hl
5f9c538d30a3e70dc1d9b0ea,if1_hh
5f9c538d30a3e70dc1d9b0ea,if2_ul
5f9c538d30a3e70dc1d9b0ea,independent_uh
5f9c538d30a3e70dc1d9b0ea,if2_hl
5f9c538d30a3e70dc1d9b0ea,if1_uh
5f9c538d30a3e70dc1d9b0ea,independent_ll
5fc9a824ca46654eeaab0f6e,if2_ll
5fc9a824ca46654eeaab0f6e,if1_u-Lh
5fc9a824ca46654eeaab0f6e,independent_ul
5fc9a824ca46654eeaab0f6e,if1_hh
5fc9a824ca46654eeaab0f6e,independent_hh
5fc9a824ca46654eeaab0f6e,if2_u-Ll
5fc9a824ca46654eeaab0f6e,independent_hl
5fc9a824ca46654eeaab0f6e,if1_lh
5fc9a824ca46654eeaab0f6e,if2_ul
5fc9a824ca46654eeaab0f6e,independent_uh
5fc9a824ca46654eeaab0f6e,if2_hl
5fc9a824ca46654eeaab0f6e,if1_uh
5fc9a824ca46654eeaab0f6e,independent_ll
5e6a11b646df0b0008647b87,independent_ll
5f4822c87200c92c9ef20bb1,if2_ul
5f48cd6061235238d144db2c,independent_uh
5fa0484c567cb704fdebd0f0,if1_uh
5fa0484c567cb704fdebd0f0,independent_uh
600c4d8f3381f8363c4a1899,independent_hh
5fbd53e560eba90dfc84772d,ind2
5fbd53e560eba90dfc84772d,if1_hh
5fbd53e560eba90dfc84772d,if2_ul
5fbd53e560eba90dfc84772d,independent_ul
5fbd53e560eba90dfc84772d,if2_hl
5fbd53e560eba90dfc84772d,independent_ll
5fbd53e560eba90dfc84772d,if1_uh
5fbd53e560eba90dfc84772d,independent_hl
5fbd53e560eba90dfc84772d,if1_lh
5fbd53e560eba90dfc84772d,if2_u-Ll
5fbd53e560eba90dfc84772d,independent_uh
5fbd53e560eba90dfc84772d,if2_ll
5fbd53e560eba90dfc84772d,if1_u-Lh
5fbd53e560eba90dfc84772d,independent_hh
5aea85749d82560001bde2bc,ind2
5aea85749d82560001bde2bc,if1_hh
5aea85749d82560001bde2bc,if2_ul
5aea85749d82560001bde2bc,independent_ul
5aea85749d82560001bde2bc,if2_hl
5aea85749d82560001bde2bc,independent_ll
5aea85749d82560001bde2bc,if1_uh
5aea85749d82560001bde2bc,independent_hl
5aea85749d82560001bde2bc,if1_lh
5aea85749d82560001bde2bc,if2_u-Ll
5aea85749d82560001bde2bc,independent_uh
5aea85749d82560001bde2bc,if2_ll
5aea85749d82560001bde2bc,if1_u-Lh
5aea85749d82560001bde2bc,independent_hh
5b7f9abbdb11320001c4c1f0,ind2
5b7f9abbdb11320001c4c1f0,if1_hh
5b7f9abbdb11320001c4c1f0,if2_ul
5b7f9abbdb11320001c4c1f0,independent_ul
5b7f9abbdb11320001c4c1f0,if2_hl
5b7f9abbdb11320001c4c1f0,independent_ll
5b7f9abbdb11320001c4c1f0,if1_uh
5b7f9abbdb11320001c4c1f0,independent_hl
5b7f9abbdb11320001c4c1f0,if1_lh
5b7f9abbdb11320001c4c1f0,if2_u-Ll
5b7f9abbdb11320001c4c1f0,independent_uh
5b7f9abbdb11320001c4c1f0,if2_ll
5b7f9abbdb11320001c4c1f0,if1_u-Lh
5b7f9abbdb11320001c4c1f0,independent_hh
5a9dd20b4eecca0001dd9f1d,if1_hh
5a9dd20b4eecca0001dd9f1d,if1_lh
5a9dd20b4eecca0001dd9f1d,if1_u-Lh
5a9dd20b4eecca0001dd9f1d,if1_uh
5a9dd20b4eecca0001dd9f1d,if2_hl
5a9dd20b4eecca0001dd9f1d,if2_ll
5a9dd20b4eecca0001dd9f1d,if2_u-Ll
5a9dd20b4eecca0001dd9f1d,if2_ul
5a9dd20b4eecca0001dd9f1d,independent_hh
5a9dd20b4eecca0001dd9f1d,independent_hl
