stimulus_id,ll.obs,n,p.val
if1_lh,893.2402132225576,1000,0.844
independent_ll,664.0675586284286,1000,0.59
if2_ll,483.2581206631862,1000,0.557
if2_u-Ll,497.40658374546615,1000,0.466
independent_ul,91.82153513683161,1000,0.293
if2_hl,581.685183059435,1000,0.276
if2_ul,461.69560664085895,1000,0.236
independent_uh,295.8441898477535,1000,0.118
independent_hl,513.6961031163902,1000,0.085
if1_u-Lh,314.90569118397093,1000,0.013
independent_hh,582.0602747470537,1000,0.008
if1_uh,359.7466209962066,1000,0.002
if1_hh,451.73175529849027,1000,0.001
