prolific_id,id,question,response,expected,trial_name,trial_number
5ee454ad40c72e152991826e,sc_yes6_0,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>red falls</b> and that <b>yellow</b> is <b>more likely to fall than not to fall</b>.,yes,yes,slider_choice_training,1
5ee454ad40c72e152991826e,no_sc_yes4_0,The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>yellow falls</b> but is <b>uncertain whether or not red falls</b>.</b>,no,no,slider_choice_training,2
5ee454ad40c72e152991826e,sc_yes5_1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls </b>but <b>probably not red</b>.,yes,yes,slider_choice_training,3
5ee454ad40c72e152991826e,sc_yes4_1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls</b> but is <b>uncertain whether or not red falls</b>.,yes,yes,slider_choice_training,4
5ee454ad40c72e152991826e,no_sc_yes3_0,The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b>yellow block falls</b> but <b>not the red</b>.</b>,no,no,slider_choice_training,5
5ee454ad40c72e152991826e,sc_yes3_1,The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b>yellow block falls</b> but <b>not the red</b>.,yes,yes,slider_choice_training,6
5ee454ad40c72e152991826e,sc_yes2_0,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>both blocks fall</b>.,no,yes,slider_choice_training,7
5ee454ad40c72e152991826e,no_sc_yes2_1-not0,The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>both blocks fall</b>.</b>,no,no,slider_choice_training,8
5ee454ad40c72e152991826e,sc_yes1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>either both blocks</b> or <b>none</b> of the two blocks fall.,yes,yes,slider_choice_training,9
5ee454ad40c72e152991826e,sc_yes0,"The sliders represent the beliefs of a person who <br/>is <b>completely uncertain</b> whether the blocks fall, that is the person has <b>no tendency</b> towards any of the four events.",yes,yes,slider_choice_training,10
5df009be35886f068d794ebd,sc_yes6_0,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>red falls</b> and that <b>yellow</b> is <b>more likely to fall than not to fall</b>.,yes,yes,slider_choice_training,1
5df009be35886f068d794ebd,no_sc_yes4_0,The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>yellow falls</b> but is <b>uncertain whether or not red falls</b>.</b>,no,no,slider_choice_training,2
5df009be35886f068d794ebd,sc_yes5_0,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>red falls</b> but <b>probably not yellow</b>.,yes,yes,slider_choice_training,3
5df009be35886f068d794ebd,sc_yes4_1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls</b> but is <b>uncertain whether or not red falls</b>.,yes,yes,slider_choice_training,4
5df009be35886f068d794ebd,no_sc_yes3_1,The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b>red block falls</b> but <b>not the yellow</b>.</b>,no,no,slider_choice_training,5
5df009be35886f068d794ebd,sc_yes3_0,The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b>red block falls</b> but <b>not the yellow</b>.,yes,yes,slider_choice_training,6
5df009be35886f068d794ebd,sc_yes2_0,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>both blocks fall</b>.,yes,yes,slider_choice_training,7
5df009be35886f068d794ebd,no_sc_yes2_1-not0,The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>both blocks fall</b>.</b>,yes,no,slider_choice_training,8
5df009be35886f068d794ebd,sc_yes0,"The sliders represent the beliefs of a person who <br/>is <b>completely uncertain</b> whether the blocks fall, that is the person has <b>no tendency</b> towards any of the four events.",yes,yes,slider_choice_training,9
5df009be35886f068d794ebd,sc_yes1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>either both blocks</b> or <b>none</b> of the two blocks fall.,yes,yes,slider_choice_training,10
5ea98a3faafdd809224b48ec,sc_yes6_0,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>red falls</b> and that <b>yellow</b> is <b>more likely to fall than not to fall</b>.,yes,yes,slider_choice_training,1
5ea98a3faafdd809224b48ec,no_sc_yes4_0,The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>yellow falls</b> but is <b>uncertain whether or not red falls</b>.</b>,no,no,slider_choice_training,2
5ea98a3faafdd809224b48ec,sc_yes5_0,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>red falls</b> but <b>probably not yellow</b>.,no,yes,slider_choice_training,3
5ea98a3faafdd809224b48ec,sc_yes4_1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls</b> but is <b>uncertain whether or not red falls</b>.,no,yes,slider_choice_training,4
5ea98a3faafdd809224b48ec,no_sc_yes3_0,The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b>yellow block falls</b> but <b>not the red</b>.</b>,no,no,slider_choice_training,5
5ea98a3faafdd809224b48ec,sc_yes3_1,The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b>yellow block falls</b> but <b>not the red</b>.,yes,yes,slider_choice_training,6
5ea98a3faafdd809224b48ec,sc_yes2_0,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>both blocks fall</b>.,no,yes,slider_choice_training,7
5ea98a3faafdd809224b48ec,no_sc_yes2_1-not0,The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>both blocks fall</b>.</b>,no,no,slider_choice_training,8
5ea98a3faafdd809224b48ec,sc_yes0,"The sliders represent the beliefs of a person who <br/>is <b>completely uncertain</b> whether the blocks fall, that is the person has <b>no tendency</b> towards any of the four events.",yes,yes,slider_choice_training,9
5ea98a3faafdd809224b48ec,sc_yes1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>either both blocks</b> or <b>none</b> of the two blocks fall.,no,yes,slider_choice_training,10
5fc0488da7ba234c771ef4b5,sc_yes6_1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls</b> and that <b>red</b> is <b>more likely to fall than not to fall</b>.,no,yes,slider_choice_training,1
5fc0488da7ba234c771ef4b5,no_sc_yes4_1,The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>red falls</b> but is <b>uncertain whether or not yellow falls</b>.</b>,yes,no,slider_choice_training,2
5fc0488da7ba234c771ef4b5,sc_yes5_0,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>red falls</b> but <b>probably not yellow</b>.,no,yes,slider_choice_training,3
5fc0488da7ba234c771ef4b5,sc_yes4_0,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>red falls</b> but is <b>uncertain whether or not yellow falls</b>.,yes,yes,slider_choice_training,4
5fc0488da7ba234c771ef4b5,no_sc_yes3_1,The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b>red block falls</b> but <b>not the yellow</b>.</b>,no,no,slider_choice_training,5
5fc0488da7ba234c771ef4b5,sc_yes3_0,The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b>red block falls</b> but <b>not the yellow</b>.,no,yes,slider_choice_training,6
5fc0488da7ba234c771ef4b5,sc_yes2_1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>no block falls</b>.,yes,yes,slider_choice_training,7
5fc0488da7ba234c771ef4b5,no_sc_yes2_0-not0,The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>no block falls</b>.</b>,no,no,slider_choice_training,8
5fc0488da7ba234c771ef4b5,sc_yes1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>either both blocks</b> or <b>none</b> of the two blocks fall.,no,yes,slider_choice_training,9
5fc0488da7ba234c771ef4b5,sc_yes0,"The sliders represent the beliefs of a person who <br/>is <b>completely uncertain</b> whether the blocks fall, that is the person has <b>no tendency</b> towards any of the four events.",yes,yes,slider_choice_training,10
5f306667868c4611c0f396f8,sc_yes6_1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls</b> and that <b>red</b> is <b>more likely to fall than not to fall</b>.,no,yes,slider_choice_training,1
5f306667868c4611c0f396f8,no_sc_yes4_0,The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>yellow falls</b> but is <b>uncertain whether or not red falls</b>.</b>,no,no,slider_choice_training,2
5f306667868c4611c0f396f8,sc_yes5_1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls </b>but <b>probably not red</b>.,yes,yes,slider_choice_training,3
5f306667868c4611c0f396f8,sc_yes4_1,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls</b> but is <b>uncertain whether or not red falls</b>.,yes,yes,slider_choice_training,4
