prolific_id,id
5fbd53e560eba90dfc84772d,ind2
5fbd53e560eba90dfc84772d,if1_hh
5fbd53e560eba90dfc84772d,if2_ul
5fbd53e560eba90dfc84772d,independent_ul
5fbd53e560eba90dfc84772d,if2_hl
5fbd53e560eba90dfc84772d,independent_ll
5fbd53e560eba90dfc84772d,if1_uh
5fbd53e560eba90dfc84772d,independent_hl
5fbd53e560eba90dfc84772d,if1_lh
5fbd53e560eba90dfc84772d,if2_u-Ll
5fbd53e560eba90dfc84772d,independent_uh
5fbd53e560eba90dfc84772d,if2_ll
5fbd53e560eba90dfc84772d,if1_u-Lh
5fbd53e560eba90dfc84772d,independent_hh
5aea85749d82560001bde2bc,ind2
5aea85749d82560001bde2bc,if1_hh
5aea85749d82560001bde2bc,if2_ul
5aea85749d82560001bde2bc,independent_ul
5aea85749d82560001bde2bc,if2_hl
5aea85749d82560001bde2bc,independent_ll
5aea85749d82560001bde2bc,if1_uh
5aea85749d82560001bde2bc,independent_hl
5aea85749d82560001bde2bc,if1_lh
5aea85749d82560001bde2bc,if2_u-Ll
5aea85749d82560001bde2bc,independent_uh
5aea85749d82560001bde2bc,if2_ll
5aea85749d82560001bde2bc,if1_u-Lh
5aea85749d82560001bde2bc,independent_hh
5b7f9abbdb11320001c4c1f0,ind2
5b7f9abbdb11320001c4c1f0,if1_hh
5b7f9abbdb11320001c4c1f0,if2_ul
5b7f9abbdb11320001c4c1f0,independent_ul
5b7f9abbdb11320001c4c1f0,if2_hl
5b7f9abbdb11320001c4c1f0,independent_ll
5b7f9abbdb11320001c4c1f0,if1_uh
5b7f9abbdb11320001c4c1f0,independent_hl
5b7f9abbdb11320001c4c1f0,if1_lh
5b7f9abbdb11320001c4c1f0,if2_u-Ll
5b7f9abbdb11320001c4c1f0,independent_uh
5b7f9abbdb11320001c4c1f0,if2_ll
5b7f9abbdb11320001c4c1f0,if1_u-Lh
5b7f9abbdb11320001c4c1f0,independent_hh
