"id","prolific_id","bg","b","g","none","p_a","p_c","p_na","p_nc","p_c_given_a","p_c_given_na","p_a_given_c","p_a_given_nc","p_nc_given_a","p_nc_given_na","p_na_given_c","p_na_given_nc","p_likely_a","p_likely_na","p_likely_c","p_likely_nc"
"if1_hh","6001ec0ca3b1a3187ac01f0c",0.25,0.24000003999984,0.26999992000032,0.24000003999984,0.49000003999984,0.51999992000032,0.50999996000016,0.48000007999968,0.51020403998351,0.529411649366081,0.480769304733443,0.5,0.48979596001649,0.470588350633919,0.519230695266557,0.5,0.49000003999984,0.50999996000016,0.51999992000032,0.48000007999968
"if2_ul","6001ec0ca3b1a3187ac01f0c",0.26999992000032,0.30999976000096,0.23000007999968,0.19000023999904,0.57999968000128,0.5,0.42000031999872,0.5,0.465517360284964,0.547618820862758,0.53999984000064,0.61999952000192,0.534482639715035,0.452381179137242,0.46000015999936,0.38000047999808,0.57999968000128,0.42000031999872,0.5,0.5
"independent_ul","6001ec0ca3b1a3187ac01f0c",0.2178219096162,0.227722860503523,0.267326664052816,0.287128565827462,0.445544770119722,0.485148573669015,0.554455229880278,0.514851426330985,0.488888938271385,0.48214292091814,0.448979800082449,0.44230791420033,0.511111061728615,0.51785707908186,0.551020199917551,0.55769208579967,0.445544770119722,0.554455229880278,0.485148573669015,0.514851426330985
"if2_hl","6001ec0ca3b1a3187ac01f0c",0.424241720235474,0.181818457299162,0.383837843079422,0.0101019793859419,0.606060177534636,0.808079563314896,0.393939822465364,0.191920436685104,0.699999333335556,0.974356541761324,0.524999937500156,0.947363711960927,0.300000666664444,0.0256434582386757,0.475000062499844,0.0526362880390733,0.606060177534636,0.393939822465364,0.808079563314896,0.191920436685104
"independent_ll","6001ec0ca3b1a3187ac01f0c",0.267326664052816,0.227722860503523,0.227722860503523,0.277227614940139,0.495049524556338,0.495049524556338,0.504950475443662,0.504950475443662,0.53999984000064,0.450980584389865,0.53999984000064,0.450980584389865,0.46000015999936,0.549019415610135,0.46000015999936,0.549019415610135,0.495049524556338,0.504950475443662,0.495049524556338,0.504950475443662
"if1_uh","6001ec0ca3b1a3187ac01f0c",0.26999992000032,0.18000027999888,0.23000007999968,0.31999972000112,0.4500001999992,0.5,0.5499998000008,0.5,0.599999555557531,0.418182115701397,0.53999984000064,0.36000055999776,0.400000444442469,0.581817884298603,0.46000015999936,0.63999944000224,0.4500001999992,0.5499998000008,0.5,0.5
"independent_hl","6001ec0ca3b1a3187ac01f0c",0.252525242322253,0.212121365166201,0.232323303744227,0.303030088767318,0.464646607488455,0.484848546066481,0.535353392511545,0.515151453933519,0.54347807183447,0.433962513349006,0.520833246528139,0.411765051901757,0.45652192816553,0.566037486650994,0.479166753471861,0.588234948098243,0.464646607488455,0.535353392511545,0.484848546066481,0.515151453933519
"if1_lh","6001ec0ca3b1a3187ac01f0c",0.24000003999984,0.25,0.26999992000032,0.24000003999984,0.49000003999984,0.50999996000016,0.50999996000016,0.49000003999984,0.48979596001649,0.529411649366081,0.470588350633919,0.51020403998351,0.51020403998351,0.470588350633919,0.529411649366081,0.48979596001649,0.49000003999984,0.50999996000016,0.50999996000016,0.49000003999984
"if2_u-Ll","6001ec0ca3b1a3187ac01f0c",0.262626211611266,0.24242427303324,0.252525242322253,0.24242427303324,0.505050484644507,0.515151453933519,0.494949515355494,0.484848546066481,0.51999992000032,0.51020403998351,0.509803883122027,0.5,0.48000007999968,0.48979596001649,0.490196116877973,0.5,0.505050484644507,0.494949515355494,0.515151453933519,0.484848546066481
"independent_uh","6001ec0ca3b1a3187ac01f0c",0.28999984000064,0.28999984000064,0.19000023999904,0.23000007999968,0.57999968000128,0.48000007999968,0.42000031999872,0.51999992000032,0.5,0.452381179137242,0.604166232640697,0.55769208579967,0.5,0.547618820862758,0.395833767359303,0.44230791420033,0.57999968000128,0.42000031999872,0.48000007999968,0.51999992000032
"if2_ll","6001ec0ca3b1a3187ac01f0c",0.21000015999936,0.26999992000032,0.26999992000032,0.25,0.48000007999968,0.48000007999968,0.51999992000032,0.51999992000032,0.437500260415582,0.519230695266557,0.437500260415582,0.519230695266557,0.562499739584418,0.480769304733443,0.562499739584418,0.480769304733443,0.48000007999968,0.51999992000032,0.48000007999968,0.51999992000032
"if1_u-Lh","6001ec0ca3b1a3187ac01f0c",0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"independent_hh","6001ec0ca3b1a3187ac01f0c",0.24000003999984,0.24000003999984,0.26999992000032,0.25,0.48000007999968,0.50999996000016,0.51999992000032,0.49000003999984,0.5,0.519230695266557,0.470588350633919,0.48979596001649,0.5,0.480769304733443,0.529411649366081,0.51020403998351,0.48000007999968,0.51999992000032,0.50999996000016,0.49000003999984
"if2_ll","5fc9a824ca46654eeaab0f6e",0.13000047999808,0.2999998000008,0.22000011999952,0.3499996000016,0.43000027999888,0.3500005999976,0.56999972000112,0.6499994000024,0.302326500806973,0.385965312402413,0.371429306118251,0.461538579881293,0.697673499193027,0.614034687597587,0.628570693881749,0.538461420118707,0.43000027999888,0.56999972000112,0.3500005999976,0.6499994000024
"if1_u-Lh","5fc9a824ca46654eeaab0f6e",0.171717488010149,0.131313610854098,0.292929119478305,0.404039781657448,0.303031098864247,0.464646607488455,0.696968901135753,0.535353392511545,0.566666222225185,0.420290086115692,0.369565784496589,0.245283980060453,0.433333777774815,0.579709913884308,0.630434215503411,0.754716019939547,0.303031098864247,0.696968901135753,0.464646607488455,0.535353392511545
"independent_ul","5fc9a824ca46654eeaab0f6e",0.12000051999792,0.1000005999976,0.33999964000144,0.43999924000304,0.22000111999552,0.46000015999936,0.77999888000448,0.53999984000064,0.545454132235161,0.435897600262563,0.260870604910413,0.185186351161662,0.454545867764839,0.564102399737437,0.739129395089587,0.814813648838338,0.22000111999552,0.77999888000448,0.46000015999936,0.53999984000064
"if1_hh","5fc9a824ca46654eeaab0f6e",0.55999876000496,0.2000001999992,0.17000031999872,0.07000071999712,0.75999896000416,0.72999908000368,0.24000103999584,0.27000091999632,0.7368414819961,0.70833159723669,0.767122555828614,0.740738957489204,0.2631585180039,0.29166840276331,0.232877444171386,0.259261042510796,0.75999896000416,0.24000103999584,0.72999908000368,0.27000091999632
"independent_hh","5fc9a824ca46654eeaab0f6e",0.3499996000016,0.12000051999792,0.42999928000288,0.1000005999976,0.47000011999952,0.77999888000448,0.52999988000048,0.22000111999552,0.74467980987315,0.811319579926113,0.448718080210051,0.545454132235161,0.255320190126851,0.188680420073887,0.551281919789949,0.454545867764839,0.47000011999952,0.52999988000048,0.77999888000448,0.22000111999552
"if2_u-Ll","5fc9a824ca46654eeaab0f6e",0.16000035999856,0.16000035999856,0.1500003999984,0.52999888000448,0.32000071999712,0.31000075999696,0.67999928000288,0.68999924000304,0.5,0.220589057091009,0.516128928200463,0.23188483511642,0.5,0.779410942908991,0.483871071799537,0.76811516488358,0.32000071999712,0.67999928000288,0.31000075999696,0.68999924000304
"independent_hl","5fc9a824ca46654eeaab0f6e",0.31999972000112,0.42999928000288,0.17000031999872,0.08000067999728,0.749999000004,0.49000003999984,0.250000999996,0.50999996000016,0.426666862221701,0.67999856001152,0.653060599752654,0.843135909270944,0.573333137778299,0.32000143998848,0.346939400247346,0.156864090729056,0.749999000004,0.250000999996,0.49000003999984,0.50999996000016
"if1_lh","5fc9a824ca46654eeaab0f6e",0.12000051999792,0.17000031999872,0.1500003999984,0.55999876000496,0.29000083999664,0.27000091999632,0.70999916000336,0.72999908000368,0.413793697974497,0.2112684189622,0.44444485596403,0.232877444171386,0.586206302025503,0.7887315810378,0.55555514403597,0.767122555828614,0.29000083999664,0.70999916000336,0.27000091999632,0.72999908000368
"if2_ul","5fc9a824ca46654eeaab0f6e",0.31999972000112,0.28999984000064,0.28999984000064,0.1000005999976,0.60999956000176,0.60999956000176,0.39000043999824,0.39000043999824,0.524590083311202,0.743588494417977,0.524590083311202,0.743588494417977,0.475409916688798,0.256411505582023,0.475409916688798,0.256411505582023,0.60999956000176,0.39000043999824,0.60999956000176,0.39000043999824
"independent_uh","5fc9a824ca46654eeaab0f6e",0.36999952000192,0.2999998000008,0.25,0.08000067999728,0.66999932000272,0.61999952000192,0.33000067999728,0.38000047999808,0.552238650033881,0.757574196520021,0.596773881374576,0.789472160672838,0.447761349966119,0.242425803479979,0.403226118625424,0.210527839327161,0.66999932000272,0.33000067999728,0.61999952000192,0.38000047999808
"if2_hl","5fc9a824ca46654eeaab0f6e",0.48999904000384,0.30999976000096,0.16000035999856,0.04000083999664,0.7999988000048,0.6499994000024,0.2000011999952,0.3500005999976,0.612499718750703,0.79999700003,0.753845372783468,0.885712081645248,0.387500281249297,0.20000299997,0.246154627216532,0.114287918354752,0.7999988000048,0.2000011999952,0.6499994000024,0.3500005999976
"if1_uh","5fc9a824ca46654eeaab0f6e",0.30999976000096,0.21000015999936,0.04000083999664,0.43999924000304,0.51999992000032,0.3500005999976,0.48000007999968,0.6499994000024,0.596153476332783,0.0833350694372107,0.885712081645248,0.323077467453946,0.403846523667217,0.916664930562789,0.114287918354752,0.676922532546054,0.51999992000032,0.48000007999968,0.3500005999976,0.6499994000024
"independent_ll","5fc9a824ca46654eeaab0f6e",0.50999896000416,0.17000031999872,0.16000035999856,0.16000035999856,0.67999928000288,0.66999932000272,0.32000071999712,0.33000067999728,0.749999264708045,0.5,0.761193250169403,0.515151423324707,0.250000735291955,0.5,0.238806749830597,0.484848576675293,0.67999928000288,0.32000071999712,0.66999932000272,0.33000067999728
"if2_hl","5ee454ad40c72e152991826e",0.26999992000032,0.72999808000768,9.99996000016e-07,9.99996000016e-07,0.999998000008,0.27000091999632,1.999992000032e-06,0.72999908000368,0.27000045999908,0.5,0.999996296323731,0.999998630140739,0.72999954000092,0.5,3.70367626906467e-06,1.36985926065956e-06,0.999998000008,1.999992000032e-06,0.27000091999632,0.72999908000368
