submission_id,question,response1,startDate,comment,experiment_id,group,question1,optionRight,response4,id,question_right_part,question4,option4,expected,correct_statement,option2,option3,option1,endTime,optionLeft,question_left_part,age,response,comments,response3,education,QUD,languages,prolific_id,RT,gender,trial_number,startTime,picture,cost,option7,question3,timeSpent,option5,question2,response2,option6,trial_name
1564,,NA,Wed Jan 27 2021 19:46:16 GMT-0600 (hora estándar central),NA,54,NA,NA,NA,NA,not-red-yellow,.,NA,both,ynr,NA,ynr,none,rny,1611801263365,NA,The icon represents the event that ,23,rny,"Gran prueba, pero las preguntas fueron un poco confusas",NA,Graduated College,What event does this icon represent?,spanish,6001ec0ca3b1a3187ac01f0c,80099,male,1,1611798377236,stimuli/img/icons/not-red-yellow.png,NA,NA,NA,48.10215,NA,NA,NA,NA,attention_check
1564,,NA,Wed Jan 27 2021 19:46:16 GMT-0600 (hora estándar central),NA,54,NA,NA,NA,NA,not-yellow-red,.,NA,none,rny,NA,both,ynr,rny,1611801263365,NA,The icon represents the event that ,23,ynr,"Gran prueba, pero las preguntas fueron un poco confusas",NA,Graduated College,What event does this icon represent?,spanish,6001ec0ca3b1a3187ac01f0c,11862,male,2,1611798377236,stimuli/img/icons/red-not-yellow.png,NA,NA,NA,48.10215,NA,NA,NA,NA,attention_check
1564,,NA,Wed Jan 27 2021 19:46:16 GMT-0600 (hora estándar central),NA,54,NA,NA,NA,NA,red-yellow,.,NA,both,both,NA,rny,ynr,none,1611801263365,NA,The icon represents the event that ,23,none,"Gran prueba, pero las preguntas fueron un poco confusas",NA,Graduated College,What event does this icon represent?,spanish,6001ec0ca3b1a3187ac01f0c,6218,male,3,1611798377236,stimuli/img/icons/red-yellow.png,NA,NA,NA,48.10215,NA,NA,NA,NA,attention_check
1564,The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>both blocks fall</b>.</b>,NA,Wed Jan 27 2021 19:46:16 GMT-0600 (hora estándar central),NA,54,NA,NA,NA,NA,no_sc_yes2_1-not0,NA,NA,NA,no,</br>The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>no block falls</b>.,no,NA,yes,1611801263365,NA,NA,23,yes,"Gran prueba, pero las preguntas fueron un poco confusas",NA,Graduated College,Please click on the button with the correct answer.,spanish,6001ec0ca3b1a3187ac01f0c,178232,male,1,1611798377236,stimuli/img/slider-choices/sc_yes2_1-not0.png,NA,NA,NA,48.10215,NA,NA,NA,NA,slider_choice_training
1564,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>both blocks fall</b>.,NA,Wed Jan 27 2021 19:46:16 GMT-0600 (hora estándar central),NA,54,NA,NA,NA,NA,sc_yes2_0,NA,NA,NA,yes,</br>The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>either both</b> or <b>none</b> of the two blocks fall <br/>with a <b>tendency</b> towards the event that <b>both blocks fall</b>.,no,NA,yes,1611801263365,NA,NA,23,no,"Gran prueba, pero las preguntas fueron un poco confusas",NA,Graduated College,Please click on the button with the correct answer.,spanish,6001ec0ca3b1a3187ac01f0c,11662,male,2,1611798377236,stimuli/img/slider-choices/sc_yes2_0.png,NA,NA,NA,48.10215,NA,NA,NA,NA,slider_choice_training
1564,The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b>red block falls</b> but <b>not the yellow</b>.,NA,Wed Jan 27 2021 19:46:16 GMT-0600 (hora estándar central),NA,54,NA,NA,NA,NA,sc_yes3_0,NA,NA,NA,yes,</br>The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b>red block falls</b> but <b>not the yellow</b>.,no,NA,yes,1611801263365,NA,NA,23,yes,"Gran prueba, pero las preguntas fueron un poco confusas",NA,Graduated College,Please click on the button with the correct answer.,spanish,6001ec0ca3b1a3187ac01f0c,2013,male,3,1611798377236,stimuli/img/slider-choices/sc_yes3_0.png,NA,NA,NA,48.10215,NA,NA,NA,NA,slider_choice_training
1564,The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b>red block falls</b> but <b>not the yellow</b>.</b>,NA,Wed Jan 27 2021 19:46:16 GMT-0600 (hora estándar central),NA,54,NA,NA,NA,NA,no_sc_yes3_1,NA,NA,NA,no,</br>The sliders represent the beliefs of a person who <br/>is <b>pretty certain</b> that the <b><i>YELLOW</i> block falls</b> but <b>not the <i>RED</i></b>.,no,NA,yes,1611801263365,NA,NA,23,no,"Gran prueba, pero las preguntas fueron un poco confusas",NA,Graduated College,Please click on the button with the correct answer.,spanish,6001ec0ca3b1a3187ac01f0c,4426,male,4,1611798377236,stimuli/img/slider-choices/sc_yes3_1.png,NA,NA,NA,48.10215,NA,NA,NA,NA,slider_choice_training
1564,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls</b> but is <b>uncertain whether or not red falls</b>.,NA,Wed Jan 27 2021 19:46:16 GMT-0600 (hora estándar central),NA,54,NA,NA,NA,NA,sc_yes4_1,NA,NA,NA,yes,</br>The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls</b> but is <b>uncertain whether or not red falls</b>.,no,NA,yes,1611801263365,NA,NA,23,yes,"Gran prueba, pero las preguntas fueron un poco confusas",NA,Graduated College,Please click on the button with the correct answer.,spanish,6001ec0ca3b1a3187ac01f0c,39024,male,5,1611798377236,stimuli/img/slider-choices/sc_yes4_1.png,NA,NA,NA,48.10215,NA,NA,NA,NA,slider_choice_training
1564,The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls </b>but <b>probably not red</b>.,NA,Wed Jan 27 2021 19:46:16 GMT-0600 (hora estándar central),NA,54,NA,NA,NA,NA,sc_yes5_1,NA,NA,NA,yes,</br>The sliders represent the beliefs of a person who <br/><b>thinks</b> that <b>yellow falls </b>but <b>probably not red</b>.,no,NA,yes,1611801263365,NA,NA,23,no,"Gran prueba, pero las preguntas fueron un poco confusas",NA,Graduated College,Please click on the button with the correct answer.,spanish,6001ec0ca3b1a3187ac01f0c,105381,male,6,1611798377236,stimuli/img/slider-choices/sc_yes5_1.png,NA,NA,NA,48.10215,NA,NA,NA,NA,slider_choice_training
1564,The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b>yellow falls</b> but is <b>uncertain whether or not red falls</b>.</b>,NA,Wed Jan 27 2021 19:46:16 GMT-0600 (hora estándar central),NA,54,NA,NA,NA,NA,no_sc_yes4_0,NA,NA,NA,no,</br>The sliders represent the beliefs of a person who <br/><b>is very confident</b> that <b><i>RED</i> falls</b> but is <b>uncertain whether or not <i>YELLOW</i> falls</b>.,no,NA,yes,1611801263365,NA,NA,23,yes,"Gran prueba, pero las preguntas fueron un poco confusas",NA,Graduated College,Please click on the button with the correct answer.,spanish,6001ec0ca3b1a3187ac01f0c,133846,male,7,1611798377236,stimuli/img/slider-choices/sc_yes4_0.png,NA,NA,NA,48.10215,NA,NA,NA,NA,slider_choice_training
